Title,Author,Audiobook_URL
The Adventures of Augie March,Saul Bellow,https://findaudiobook.co/?s=The+Adventures+of+Augie+March
All the King's Men,Robert Penn Warren,https://findaudiobook.co/?s=All+the+King%27s+Men
American Pastoral,Philip Roth,https://findaudiobook.co/?s=American+Pastoral
Animal Farm,George Orwell,https://findaudiobook.co/?s=Animal+Farm
Appointment in Samarra,John O'Hara,https://findaudiobook.co/?s=Appointment+in+Samarra
"Are You There God? It's Me, Margaret",Judy Blume,https://findaudiobook.co/?s=Are+You+There+God%3F+It%27s+Me%2C+Margaret
The Assistant,Bernard Malamud,https://findaudiobook.co/?s=The+Assistant
Atonement,Ian McEwan,https://findaudiobook.co/?s=Atonement
Beloved,Toni Morrison,https://findaudiobook.co/?s=Beloved
The Berlin Stories,Christopher Isherwood,https://findaudiobook.co/?s=The+Berlin+Stories
The Big Sleep,Raymond Chandler,https://findaudiobook.co/?s=The+Big+Sleep
The Blind Assassin,Margaret Atwood,https://findaudiobook.co/?s=The+Blind+Assassin
Blood Meridian,Cormac McCarthy,https://findaudiobook.co/?s=Blood+Meridian
Brideshead Revisited,Evelyn Waugh,https://findaudiobook.co/?s=Brideshead+Revisited
The Bridge of San Luis Rey,Thornton Wilder,https://findaudiobook.co/?s=The+Bridge+of+San+Luis+Rey
Call It Sleep,Henry Roth,https://findaudiobook.co/?s=Call+It+Sleep
Catch-22,Joseph Heller,https://findaudiobook.co/?s=Catch-22
The Catcher in the Rye,J. D. Salinger,https://findaudiobook.co/?s=The+Catcher+in+the+Rye
A Clockwork Orange,Anthony Burgess,https://findaudiobook.co/?s=A+Clockwork+Orange
The Confessions of Nat Turner,William Styron,https://findaudiobook.co/?s=The+Confessions+of+Nat+Turner
The Corrections,Jonathan Franzen,https://findaudiobook.co/?s=The+Corrections
The Crying of Lot 49,Thomas Pynchon,https://findaudiobook.co/?s=The+Crying+of+Lot+49
A Dance to the Music of Time,Anthony Powell,https://findaudiobook.co/?s=A+Dance+to+the+Music+of+Time
The Day of the Locust,Nathanael West,https://findaudiobook.co/?s=The+Day+of+the+Locust
Death Comes for the Archbishop,Willa Cather,https://findaudiobook.co/?s=Death+Comes+for+the+Archbishop
A Death in the Family,James Agee,https://findaudiobook.co/?s=A+Death+in+the+Family
The Death of the Heart,Elizabeth Bowen,https://findaudiobook.co/?s=The+Death+of+the+Heart
Deliverance,James Dickey,https://findaudiobook.co/?s=Deliverance
Dog Soldiers,Robert Stone,https://findaudiobook.co/?s=Dog+Soldiers
Falconer,John Cheever,https://findaudiobook.co/?s=Falconer
The French Lieutenant's Woman,John Fowles,https://findaudiobook.co/?s=The+French+Lieutenant%27s+Woman
The Golden Notebook,Doris Lessing,https://findaudiobook.co/?s=The+Golden+Notebook
Go Tell it on the Mountain,James Baldwin,https://findaudiobook.co/?s=Go+Tell+it+on+the+Mountain
Gone With the Wind,Margaret Mitchell,https://findaudiobook.co/?s=Gone+With+the+Wind
The Grapes of Wrath,John Steinbeck,https://findaudiobook.co/?s=The+Grapes+of+Wrath
Gravity's Rainbow,Thomas Pynchon,https://findaudiobook.co/?s=Gravity%27s+Rainbow
The Great Gatsby,F. Scott Fitzgerald,https://findaudiobook.co/?s=The+Great+Gatsby
A Handful of Dust,Evelyn Waugh,https://findaudiobook.co/?s=A+Handful+of+Dust
The Heart Is A Lonely Hunter,Carson McCullers,https://findaudiobook.co/?s=The+Heart+Is+A+Lonely+Hunter
The Heart of the Matter,Graham Greene,https://findaudiobook.co/?s=The+Heart+of+the+Matter
Herzog,Saul Bellow,https://findaudiobook.co/?s=Herzog
Housekeeping,Marilynne Robinson,https://findaudiobook.co/?s=Housekeeping
A House for Mr. Biswas,V. S. Naipaul,https://findaudiobook.co/?s=A+House+for+Mr.+Biswas
"I, Claudius",Robert Graves,https://findaudiobook.co/?s=I%2C+Claudius
Infinite Jest,David Foster Wallace,https://findaudiobook.co/?s=Infinite+Jest
Invisible Man,Ralph Ellison,https://findaudiobook.co/?s=Invisible+Man
Light in August,William Faulkner,https://findaudiobook.co/?s=Light+in+August
"The Lion, The Witch and the Wardrobe",C. S. Lewis,https://findaudiobook.co/?s=The+Lion%2C+The+Witch+and+the+Wardrobe
Lolita,Vladimir Nabokov,https://findaudiobook.co/?s=Lolita
Lord of the Flies,William Golding,https://findaudiobook.co/?s=Lord+of+the+Flies
The Lord of the Rings,J. R. R. Tolkien,https://findaudiobook.co/?s=The+Lord+of+the+Rings
Loving,Henry Green,https://findaudiobook.co/?s=Loving
Lucky Jim,Kingsley Amis,https://findaudiobook.co/?s=Lucky+Jim
The Man Who Loved Children,Christina Stead,https://findaudiobook.co/?s=The+Man+Who+Loved+Children
Midnight's Children,Salman Rushdie,https://findaudiobook.co/?s=Midnight%27s+Children
Money,Martin Amis,https://findaudiobook.co/?s=Money
The Moviegoer,Walker Percy,https://findaudiobook.co/?s=The+Moviegoer
Mrs. Dalloway,Virginia Woolf,https://findaudiobook.co/?s=Mrs.+Dalloway
Naked Lunch,William S. Burroughs,https://findaudiobook.co/?s=Naked+Lunch
Native Son,Richard Wright,https://findaudiobook.co/?s=Native+Son
Neuromancer,William Gibson,https://findaudiobook.co/?s=Neuromancer
Never Let Me Go,Kazuo Ishiguro,https://findaudiobook.co/?s=Never+Let+Me+Go
Nineteen Eighty Four,George Orwell,https://findaudiobook.co/?s=Nineteen+Eighty+Four
On the Road,Jack Kerouac,https://findaudiobook.co/?s=On+the+Road
One Flew Over the Cuckoo's Nest,Ken Kesey,https://findaudiobook.co/?s=One+Flew+Over+the+Cuckoo%27s+Nest
The Painted Bird,Jerzy Kosinski,https://findaudiobook.co/?s=The+Painted+Bird
Pale Fire,Vladimir Nabokov,https://findaudiobook.co/?s=Pale+Fire
A Passage to India,E. M. Forster,https://findaudiobook.co/?s=A+Passage+to+India
Play It As It Lays,Joan Didion,https://findaudiobook.co/?s=Play+It+As+It+Lays
Portnoy's Complaint,Philip Roth,https://findaudiobook.co/?s=Portnoy%27s+Complaint
Possession,A. S. Byatt,https://findaudiobook.co/?s=Possession
The Power and the Glory,Graham Greene,https://findaudiobook.co/?s=The+Power+and+the+Glory
The Prime of Miss Jean Brodie,Muriel Spark,https://findaudiobook.co/?s=The+Prime+of+Miss+Jean+Brodie
"Rabbit, Run",John Updike,https://findaudiobook.co/?s=Rabbit%2C+Run
Ragtime,E. L. Doctorow,https://findaudiobook.co/?s=Ragtime
The Recognitions,William Gaddis,https://findaudiobook.co/?s=The+Recognitions
Red Harvest,Dashiell Hammett,https://findaudiobook.co/?s=Red+Harvest
Revolutionary Road,Richard Yates,https://findaudiobook.co/?s=Revolutionary+Road
The Sheltering Sky,Paul Bowles,https://findaudiobook.co/?s=The+Sheltering+Sky
Slaughterhouse-Five,Kurt Vonnegut,https://findaudiobook.co/?s=Slaughterhouse-Five
Snow Crash,Neal Stephenson,https://findaudiobook.co/?s=Snow+Crash
The Sot-Weed Factor,John Barth,https://findaudiobook.co/?s=The+Sot-Weed+Factor
The Sound and the Fury,William Faulkner,https://findaudiobook.co/?s=The+Sound+and+the+Fury
The Sportswriter,Richard Ford,https://findaudiobook.co/?s=The+Sportswriter
